Body,Body Name,Transaction No,Invoice Ref.,Vendor Name,Expense,Expense Type,Payment Date,Amount,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011009,12452,Complete Climate Solutions,R2080-REC101,Mechanical Services,15/02/2013,"£1,258.93",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011015,12458,Complete Climate Solutions,R2080-REC101,Mechanical Services,15/02/2013,£75.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011015,12458,Complete Climate Solutions,R2080-REC101,Mechanical Services,15/02/2013,£630.74,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011226,12462,Complete Climate Solutions,R2080-CUL102,Mechanical Services,15/02/2013,"£1,496.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011226,12462,Complete Climate Solutions,R2080-CUL102,Mechanical Services,15/02/2013,"£4,500.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010913,1625164,Craemer UK Limited,R4000-RYC004,Equipment Purchase,25/02/2013,"£8,100.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010757,1243,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,08/02/2013,"£1,010.47",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010757,1243,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,08/02/2013,£720.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011270,1245,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,15/02/2013,£557.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011270,1245,D A Jones Landscapes,R2075-OPS001,Grounds Maintenance - Contract,15/02/2013,£750.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010897,1118,D W Brookes (Resurfacing Limited),R2075-ENF102,Grounds Maintenance - Contract,25/02/2013,"£5,400.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011349,28151777,Davis Langdon LLP,C6002-CAP121,Fees - Agency,25/02/2013,"£4,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011349,28151777,Davis Langdon LLP,C1005-CAP121,Surveyors Fees,25/02/2013,"£5,000.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011349,28151777,Davis Langdon LLP,C1106-CAP121,Engineering Works,25/02/2013,"£1,250.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010966,7401998287,Dell Corporation Limited,R4530-COR003,IT - Purchase of Hardware,25/02/2013,£617.64,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010950,13/008,Des Knight Limited,R4400-SUP009,Services - Professional Fees,08/02/2013,"£2,100.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010732,177231,Direct Communications Radio Services Limited (DCRS),R4000-CUL102,Equipment Purchase,08/02/2013,£69.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010732,177231,Direct Communications Radio Services Limited (DCRS),R4000-CUL102,Equipment Purchase,08/02/2013,£460.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011189,16917,Dundore Limited T/A Security Data Print,R4300-LTC001,Printing - Services,25/02/2013,"£4,064.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011141,13516,Emmdee Electrical Services Limited,R2083-REC101,R&M of Build - Routine,15/02/2013,£417.72,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011366,301267/12/2012,Ener-G Combined Power (South) Limited,R2100-REC101,Electricity,25/02/2013,"£4,175.12",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010697,VM003276,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,Building Works,25/02/2013,"£19,355.62",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010741,1133,Fairford Tree Services,R2070-HRA110,Tree Work,25/02/2013,£540.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011290,1139,Fairford Tree Services,R2070-PLP006,Tree Work,25/02/2013,"£2,580.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010472,5396,Fernmont Limited,C1107-CAH016,Building Works,01/02/2013,£910.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011267,13257,Fritz Fryer Antique Lighting,R2004-CUL103,R & M of Build Programmed,25/02/2013,"£4,526.40",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010698,142,Gaskins Treework Specialists,R2070-HRA110,Tree Work,08/02/2013,£660.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010737,8279,Geldar Limited t/a Cotswold Decorative Ironworkers,R2075-OPS001,Grounds Maintenance - Contract,15/02/2013,"£3,245.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010802,1800256980,Gloucestershire County Council,R4974-CPK012,Reimbursement to other L.A.'s,08/02/2013,"£118,429.10",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010801,1800259578,Gloucestershire County Council,R4974-CPK012,Reimbursement to other L.A.'s,08/02/2013,"£132,463.76",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010516,800003909,Gloucestershire Local Government Pension Scheme (LGPS),R1301-SUP038,Enhanced Pension,01/02/2013,"£16,259.40",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010443,1002,Greenway Partnership Limited T/A GPL Building Services,R2083-CPK001,R&M of Build - Routine,01/02/2013,£479.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010845,1007,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK001,R & M of Build Cyclical Electrical Remedials,08/02/2013,£440.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010825,1032,Greenway Partnership Limited T/A GPL Building Services,R2004-ECD101,R & M of Build Programmed,08/02/2013,"£8,510.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010838,1038,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,R & M of Build Drain Cleaning,08/02/2013,£275.26,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010838,1038,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,R & M of Build Drain Cleaning,08/02/2013,£64.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010838,1038,Greenway Partnership Limited T/A GPL Building Services,R2043-ADB103,R & M of Build Drain Cleaning,08/02/2013,£182.24,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010827,1039,Greenway Partnership Limited T/A GPL Building Services,C1004-CAP401,Legal Fees,08/02/2013,£900.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010828,1040,Greenway Partnership Limited T/A GPL Building Services,C1004-CAP401,Legal Fees,25/02/2013,"£1,987.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010829,1041,Greenway Partnership Limited T/A GPL Building Services,C1004-CAP401,Legal Fees,25/02/2013,"£1,727.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011251,1050,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK001,R & M of Build Cyclical Electrical Remedials,15/02/2013,£912.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011253,1052,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK001,R & M of Build Cyclical Electrical Remedials,15/02/2013,"£1,143.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011310,1060,Greenway Partnership Limited T/A GPL Building Services,C1107-CAH016,Building Works,25/02/2013,£785.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010833,1062,Greenway Partnership Limited T/A GPL Building Services,R2083-ADB103,R&M of Build - Routine,08/02/2013,"£1,910.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011257,1072,Greenway Partnership Limited T/A GPL Building Services,R2004-CUL103,R & M of Build Programmed,15/02/2013,"£18,584.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011258,1073,Greenway Partnership Limited T/A GPL Building Services,R2004-CUL103,R & M of Build Programmed,15/02/2013,"£1,771.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011250,1078,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK001,R & M of Build Cyclical Electrical Remedials,15/02/2013,£169.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011250,1078,Greenway Partnership Limited T/A GPL Building Services,R2062-CPK001,R & M of Build Cyclical Electrical Remedials,15/02/2013,£248.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011246,1110,Greenway Partnership Limited T/A GPL Building Services,R2004-CPK001,R & M of Build Programmed,15/02/2013,£604.41,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010851,895,Greenway Partnership Limited T/A GPL Building Services,C1107-CAH016,Building Works,25/02/2013,"£6,946.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010684,954,Greenway Partnership Limited T/A GPL Building Services,R2078-CPK001,R&M of Build - external structures,08/02/2013,"£1,938.75",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011175,90735,"Grimshaw Kinnear Limited t/a Grimshaw Group, Grimshaw Sports & Nostalga Building Supplies",C1100-CAP105,Construction,25/02/2013,"£9,500.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010342,10047277,Hague Computer Supplies Limited,R4534-SUP005,IT - Maint Agreements,08/02/2013,£694.21,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010341,10047278,Hague Computer Supplies Limited,R4535-SUP005,IT - Licences,08/02/2013,£900.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011313,CISDEDUCTS060113-050213,HMRC (CBC - CIS),B6220-BAL100,CIS Deductions Control (reallocated),15/02/2013,£560.90,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010903,3674,Humidity Solutions Limited,R4000-REC101,Equipment Purchase,25/02/2013,£556.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011228,23023,Imperial Civil Enforcement Solutions Limited,R4531-CPK012,IT - Purchase of Software,25/02/2013,"£14,026.15",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010872,23054,Imperial Civil Enforcement Solutions Limited,R4531-CPK012,IT - Purchase of Software,25/02/2013,"£4,091.79",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010871,23055,Imperial Civil Enforcement Solutions Limited,R4531-CPK012,IT - Purchase of Software,25/02/2013,"£1,073.46",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011159,8416,Industrial Medical & Safety Services (IMASS) Limited,R4401-SUP003,Services - Fees and Charges,15/02/2013,"£1,040.42",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010896,13/002,J P North (Farmer),R2075-OPS001,Grounds Maintenance - Contract,08/02/2013,£720.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011281,13/004,J P North (Farmer),R2071-OPS002,Open Spaces and Grassed Areas,15/02/2013,"£1,800.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011317,1350,KBW Property Limited,R2075-OPS001,Grounds Maintenance - Contract,25/02/2013,£680.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010967,698182/3,Liberty Gas Group,R2040-HRA100,R & M of Build Central Heating,15/02/2013,"£57,505.34",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010687,40128390,Local Government Association (LGA),R4426-COR006,Legal Expenses,25/02/2013,"£5,726.98",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010687,40128390,Local Government Association (LGA),R4426-COR006,Legal Expenses,25/02/2013,"£1,309.12",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010779,6230001/4705,Mears Home Improvements (Business Account),R6280-HOM001,Grants,08/02/2013,£852.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011332,236 PRIORS ROAD,Mears Home Improvements (Client Account),C5000-CAP221,Grants,25/02/2013,"£1,383.20",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010259,523,MHP Design Limited,C1107-CAH005,Building Works,01/02/2013,£513.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010726,14870,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,15/02/2013,£704.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010898,Jan-13,Mr J Sureda,R4401-CCM001,Services - Fees and Charges,15/02/2013,£806.62,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010739,SENECA WAY,N C Eldridge T/A Eldridge Tree Services,R2070-PLP006,Tree Work,08/02/2013,£640.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011105,AREXT/00136590,National Express Limited,R4020-TOU002,Bus Tickets,15/02/2013,£913.13,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010808,IN000232,One Building Services (UK) Limited,C1107-CAH029,Building Works,08/02/2013,"£4,159.50",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010369,510368,OpenView Security Solutions Limited,C4009-CAP141,C C T V,25/02/2013,"£2,450.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010952,JAN268/PPC/RCS,P C Moleing Services Limited,C1107-CAH013,Building Works,15/02/2013,£735.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010648,8837867,Pace Fuelcare Limited,R3001-ADB103,Diesel,01/02/2013,"£37,913.40",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011298,8940686,Pace Fuelcare Limited,R3001-ADB103,Diesel,25/02/2013,"£38,457.40",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011225,K/322/BRANCHT TOWN CENTRE/FJS,Peter Ball & Co Limited,C6002-CAP401,Fees - Agency,15/02/2013,"£4,500.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010863,I5942,Peter Dorrell & Company,R2004-REC101,R & M of Build Programmed,08/02/2013,"£9,170.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010800,97,PHF Training Limited,R1650-COR001,Training Expenses,08/02/2013,"£1,145.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010942,221,Pro-Teq Surfacing (UK) Limited,R2075-OPS001,Grounds Maintenance - Contract,08/02/2013,"£2,300.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011364,QL/411/CBC/1/16,Ross Quality Control Limited,C6002-CAP121,Fees - Agency,25/02/2013,"£3,240.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010956,DAW/10620/1,Rowntree Partnershp (Rowntree Associates LLP),C1107-CAH001,Building Works,15/02/2013,£831.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010783,9041740870,Royal Mail,R4520-CUL110,Postages - stamps,08/02/2013,£73.16,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010783,9041740870,Royal Mail,R4520-CUL110,Postages - stamps,08/02/2013,£260.50,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010783,9041740870,Royal Mail,R4520-CUL110,Postages - stamps,08/02/2013,£129.85,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-ELE001,Postages - franking machine,08/02/2013,"£2,650.17",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-LTC001,Postages - franking machine,08/02/2013,£14.40,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-RYC002,Postages - franking machine,08/02/2013,-£73.96,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-SUP012,Postages - franking machine,08/02/2013,£254.20,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-SUP040,Postages - franking machine,08/02/2013,£59.52,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4521-TOU002,Postages - franking machine,08/02/2013,£24.52,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010566,9041816315,Royal Mail,R4010-OPS004,Materials - Other Materials,08/02/2013,£237.46,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-CUL107,Postages - franking machine,25/02/2013,£254.24,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-SUP040,Postages - franking machine,25/02/2013,£71.18,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-TOU002,Postages - franking machine,25/02/2013,£17.10,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-SUP012,Postages - franking machine,25/02/2013,-£27.77,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-SUP012,Postages - franking machine,25/02/2013,£497.98,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011172,9041992457,Royal Mail,R4521-ELE001,Postages - franking machine,25/02/2013,"£1,502.57",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010764,391044,Security Plus+ Limited,R4435-SUP014,Cash Collection Contract,08/02/2013,£240.19,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010764,391044,Security Plus+ Limited,R4435-CPK002,Cash Collection Contract,08/02/2013,"£1,836.57",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011299,4390,Severn Furnishing Limited,R4000-REG001,Equipment Purchase,25/02/2013,£434.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010939,74977,Signcraft Limited,C1107-CAP204,Building Works,25/02/2013,"£3,100.00",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011192,22009,Signway Supplies Limited,R4010-TMR101,Materials - Other Materials,25/02/2013,"£2,083.46",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011170,O0304872,Sitex Orbis Limited,R2012-HRA100,R & M of Build Standby and Call Out,25/02/2013,"£1,047.03",
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011124,1087108,Snape Construction Limited (Snapecall),R2079-ADB101,Sanitary and Plumbing,25/02/2013,£803.92,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011166,011513CBC,Sparkes Home and Garden Limited,R2083-FIE040,R&M of Build - Routine,15/02/2013,£764.00,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14011180,2586,Sparklin Facilities Management Limited,R2700-FIE040,Contract Cleaning,25/02/2013,£457.70,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,14010926,271300165/0064,SSE - Southern Electric (Bill payments),R2100-HRA120,Electricity,08/02/2013,"£1,012.33",
